"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.786670000E-1,2.198490730E-2,4.938653814E-2,-3.411359167E-1,3.453926461E-1
6.886550002E-1,1.088922745E-2,-2.591549360E-3,-7.588750362E-2,7.670856933E-2
6.986430001E-1,3.644658595E-2,5.203252771E-3,1.104749537E-1,1.164480264E-1
7.086310000E-1,-2.437700208E-3,5.200903263E-2,4.281565189E-2,6.740965736E-2
7.186190002E-1,1.923919873E-2,5.991250847E-2,-8.441976070E-2,1.052917444E-1
7.286070001E-1,4.400165681E-3,3.542245983E-2,-1.085196447E-1,1.142393339E-1
7.385950000E-1,-1.892337714E-2,2.217550598E-2,-1.152135372E-2,3.134627345E-2
7.485830002E-1,-2.775357612E-2,5.230769745E-2,3.817530155E-2,7.045360068E-2
7.585700001E-1,2.143859007E-2,-2.202228723E-3,1.558312207E-1,1.573144377E-1
7.685580002E-1,-4.471318301E-2,3.428943161E-3,1.187084180E-1,1.268964731E-1
7.785460001E-1,-1.500667569E-2,4.531970372E-2,-1.344152087E-1,1.426412429E-1
7.885340001E-1,-6.018019217E-2,7.244578681E-2,-8.816197872E-2,1.290061318E-1
7.985220002E-1,-1.800686034E-3,2.478161228E-2,2.372618848E-1,2.385593695E-1
8.085100001E-1,-1.690360609E-2,4.446775527E-2,2.082222730E-1,2.135875187E-1
8.184980000E-1,2.175764933E-3,5.220676445E-2,-8.227032423E-3,5.289578689E-2
8.284850002E-1,-1.079217395E-2,2.342890690E-2,2.275853276E-2,3.439964405E-2
8.384730001E-1,-1.624558534E-2,1.399362959E-2,3.338643193E-2,3.967864097E-2
8.484610000E-1,2.764611069E-2,4.417999917E-2,-6.915092647E-2,8.659116811E-2
8.584490002E-1,8.503701654E-2,1.749538201E-2,-2.199839473E-2,8.956177725E-2
8.684370001E-1,-1.054089900E-2,1.800091948E-2,1.267927784E-1,1.284972852E-1
8.784250000E-1,3.054495008E-2,2.337132782E-2,-1.574666870E-1,1.620955596E-1
8.884130002E-1,4.630173446E-2,4.714238591E-2,-2.683860290E-1,2.764006435E-1
8.984010001E-1,3.442665845E-2,2.909955720E-2,-1.128588635E-1,1.215281947E-1
9.083880002E-1,5.309598891E-2,6.515506149E-3,-8.501734614E-2,1.004469263E-1
9.183760001E-1,7.335712333E-3,4.119305412E-2,1.781938970E-2,4.547758824E-2
9.283640001E-1,-9.458489158E-3,4.713312173E-2,-1.784225231E-1,1.847852563E-1
9.383520002E-1,-2.360662800E-2,1.045037451E-2,-2.324607360E-1,2.338898822E-1
9.483400001E-1,-2.755256895E-2,-1.341783416E-2,-5.672559321E-2,6.447460938E-2
9.583280000E-1,-1.416174047E-2,5.802894671E-2,-1.645014721E-1,1.750104222E-1
9.683160002E-1,-8.736629830E-3,6.549604210E-2,-1.856075817E-1,1.970183611E-1
9.783030001E-1,-3.169441218E-2,-5.090543692E-3,1.459529346E-1,1.494413213E-1
9.882910000E-1,-6.418658100E-2,2.497314513E-2,1.398156971E-1,1.558589244E-1
9.982798751E-1,-8.644058242E-3,7.101718412E-2,-2.457824475E-1,2.559827566E-1
1.008267875E0,-1.785495950E-2,9.469931200E-4,-6.361127436E-2,6.607639973E-2
1.018255875E0,-3.258154899E-2,-6.420260145E-2,2.793255848E-1,2.884550462E-1
1.028243875E0,1.001606457E-2,3.810728656E-3,6.646822393E-2,6.732657718E-2
