"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.098751666E-1,-5.194198608E-2,1.399589539E-1,9.785750427E0,9.786889082E0
7.198621666E-1,-6.077362061E-2,1.410067749E-1,9.789941711E0,9.791145748E0
7.298491665E-1,-6.077362061E-2,1.444496155E-1,9.789492645E0,9.790746926E0
7.398361666E-1,-5.897735596E-2,1.371148682E-1,9.795929260E0,9.797066341E0
7.498241665E-1,-5.852828979E-2,1.404080200E-1,9.793983307E0,9.795164572E0
7.598111667E-1,-5.852828979E-2,1.438508606E-1,9.790690155E0,9.791921790E0
7.697981666E-1,-5.508544922E-2,1.478924561E-1,9.785151672E0,9.786424262E0
7.797861665E-1,-5.777984619E-2,1.445993042E-1,9.794881439E0,9.796119123E0
7.897731666E-1,-5.373825073E-2,1.447489929E-1,9.790540466E0,9.791757896E0
7.997601666E-1,-5.583389282E-2,1.347198486E-1,9.796827393E0,9.797912728E0
8.097481665E-1,-6.361770630E-2,1.369651794E-1,9.788594513E0,9.789759405E0
8.197351666E-1,-5.867797852E-2,1.353186035E-1,9.789492645E0,9.790603683E0
8.297221665E-1,-5.777984619E-2,1.440005493E-1,9.793983307E0,9.795212284E0
8.397101667E-1,-5.882766724E-2,1.425036621E-1,9.786947937E0,9.788162131E0
8.496971666E-1,-6.032455444E-2,1.423539734E-1,9.795929260E0,9.797149268E0
8.596841665E-1,-5.209167480E-2,1.425036621E-1,9.789492645E0,9.790668368E0
8.696721666E-1,-6.197113037E-2,1.401086426E-1,9.790390778E0,9.791589372E0
8.796591666E-1,-5.792953491E-2,1.408570862E-1,9.780661011E0,9.781846776E0
8.896461665E-1,-4.745132446E-2,1.466949463E-1,9.790989532E0,9.792203381E0
8.996341666E-1,-5.343887329E-2,1.387614441E-1,9.794881439E0,9.796010048E0
9.096211665E-1,-5.942642212E-2,1.347198486E-1,9.793833618E0,9.794940422E0
9.196081667E-1,-5.373825073E-2,1.426533508E-1,9.789043579E0,9.790230435E0
9.295951666E-1,-5.942642212E-2,1.453477478E-1,9.789043579E0,9.790302940E0
9.395831665E-1,-6.227050781E-2,1.396595764E-1,9.785451050E0,9.786645731E0
9.495701666E-1,-6.032455444E-2,1.381626892E-1,9.796078949E0,9.797238935E0
9.595571666E-1,-6.915618896E-2,1.487905884E-1,9.793683929E0,9.795058250E0
9.695451665E-1,-5.942642212E-2,1.426533508E-1,9.793234863E0,9.794454072E0
9.795321666E-1,-5.568420410E-2,1.474433899E-1,9.796228638E0,9.797496405E0
9.895191665E-1,-5.763015747E-2,1.502874756E-1,9.787995758E0,9.789319104E0
9.995071667E-1,-5.478607178E-2,1.396595764E-1,9.787696381E0,9.788846038E0
1.009494167E0,-6.017486572E-2,1.404080200E-1,9.785600739E0,9.786793001E0
1.019481166E0,-6.002517700E-2,1.426533508E-1,9.789642334E0,9.790865642E0
1.029469167E0,-5.688171387E-2,1.383123779E-1,9.788594513E0,9.789736890E0
1.039456167E0,-5.763015747E-2,1.368154907E-1,9.786199493E0,9.787325490E0
1.049443166E0,-5.867797852E-2,1.333726501E-1,9.787397003E0,9.788481571E0
1.059431167E0,-6.301895142E-2,1.347198486E-1,9.780511322E0,9.781642119E0
1.069418167E0,-6.017486572E-2,1.440005493E-1,9.790690155E0,9.791933971E0
1.079405167E0,-6.032455444E-2,1.392105103E-1,9.793833618E0,9.795008706E0
1.089393167E0,-6.436614990E-2,1.398092651E-1,9.792785797E0,9.793995268E0
1.099380167E0,-5.763015747E-2,1.459465027E-1,9.787247314E0,9.788505075E0
1.109367167E0,-6.167175293E-2,1.417552185E-1,9.788594513E0,9.789815141E0
1.119354167E0,-6.182144165E-2,1.505868530E-1,9.789792023E0,9.791145292E0
1.129342166E0,-5.343887329E-2,1.404080200E-1,9.790690155E0,9.791842719E0
1.139329167E0,-5.882766724E-2,1.411564636E-1,9.787995758E0,9.789190304E0
1.149316167E0,-5.748046875E-2,1.326242065E-1,9.794881439E0,9.795947917E0
1.159304167E0,-6.182144165E-2,1.434017944E-1,9.794282684E0,9.795527513E0
1.169291167E0,-6.002517700E-2,1.384620667E-1,9.796378326E0,9.797540665E0
1.179278166E0,-6.735992432E-2,1.419049072E-1,9.797575836E0,9.798834963E0
1.189266167E0,-5.927673340E-2,1.380130005E-1,9.789792023E0,9.790944243E0
1.199253167E0,-5.807922363E-2,1.465452576E-1,9.783954163E0,9.785223951E0
1.209240166E0,-6.137237549E-2,1.423539734E-1,9.784852295E0,9.786080199E0
1.219228167E0,-5.673202515E-2,1.489402771E-1,9.797575836E0,9.798872078E0
1.229215167E0,-5.298980713E-2,1.413061523E-1,9.790241089E0,9.791404186E0
1.239202167E0,-5.777984619E-2,1.374142456E-1,9.791737976E0,9.792872601E0
