"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.685179167E-1,-3.002371648E-2,-5.032608063E-2,-7.929479313E-1,7.951104072E-1
6.785049166E-1,-2.893686984E-2,-3.989681777E-2,-8.698879337E-1,8.712830285E-1
6.884929168E-1,-9.479167974E-3,-1.641167710E-2,-1.066728017E0,1.066896368E0
6.984799167E-1,-2.391979436E-2,-3.867171189E-2,-9.752682084E-1,9.763276787E-1
7.084679166E-1,-4.534119224E-2,-6.165932760E-2,-7.721400297E-1,7.759239150E-1
7.184559167E-1,-1.235052088E-2,-2.432614615E-2,-9.818550968E-1,9.822340494E-1
7.284429166E-1,-2.228874096E-3,1.211169181E-2,-1.042928095E0,1.043000802E0
7.384309166E-1,-4.569623700E-2,-2.693262704E-2,-6.781355131E-1,6.802067969E-1
7.484179167E-1,-2.038726526E-2,-1.637226321E-2,-7.104682767E-1,7.109492695E-1
7.584059166E-1,1.128853861E-2,3.745963890E-3,-9.357503861E-1,9.358259713E-1
7.683939165E-1,-5.469104082E-3,-1.659300702E-2,-8.700376225E-1,8.702130219E-1
7.783809167E-1,-3.603546959E-2,-5.209177987E-2,-7.933969975E-1,7.959214183E-1
7.883689166E-1,-1.212018169E-2,-3.636665268E-2,-8.770724076E-1,8.779096995E-1
7.983559167E-1,1.233843816E-2,-8.308779239E-4,-1.065380818E0,1.065452587E0
8.083439167E-1,-7.486567071E-3,-4.343939449E-2,-9.104529923E-1,9.115194353E-1
8.183319166E-1,-1.119980939E-2,-4.730796718E-2,-8.625526017E-1,8.639215648E-1
8.283189167E-1,1.867648188E-2,-1.504166534E-3,-1.105047745E0,1.105206583E0
8.383069166E-1,7.139948239E-3,1.659772819E-2,-9.017698771E-1,9.019508715E-1
8.482939166E-1,-3.268670294E-2,-1.263916320E-2,-7.525308073E-1,7.533463910E-1
8.582819167E-1,-2.357788984E-2,6.995170265E-3,-8.403986710E-1,8.407584526E-1
8.682699166E-1,8.367390723E-3,2.545024595E-2,-9.227274674E-1,9.231163022E-1
8.782569168E-1,-2.304152201E-2,-4.557128018E-4,-8.785692948E-1,8.788715066E-1
8.882449167E-1,-3.155047931E-2,-3.758728179E-2,-7.773797196E-1,7.789271243E-1
8.982329166E-1,-1.852637517E-2,-3.093108558E-4,-9.957749784E-1,9.959473530E-1
9.082199167E-1,-6.088522933E-3,-1.578028973E-2,-1.043825642E0,1.043962672E0
9.182079167E-1,-1.745917381E-2,-6.021194986E-2,-9.126989079E-1,9.148494948E-1
9.281949166E-1,2.525546744E-2,-7.098019134E-2,-9.412900382E-1,9.443002501E-1
9.381829167E-1,3.446557441E-2,-4.035855138E-2,-9.339558756E-1,9.354625947E-1
9.481709166E-1,-2.500933620E-2,-4.112657402E-3,-8.360600370E-1,8.364441203E-1
9.581579166E-1,-6.442002194E-2,-1.322163724E-2,-7.663050932E-1,7.691217373E-1
9.681459167E-1,-3.997840927E-2,2.288288203E-2,-8.866554093E-1,8.878511781E-1
9.781329166E-1,-3.670408728E-2,2.510908605E-3,-8.471375871E-1,8.479360743E-1
9.881209168E-1,-6.723623743E-2,-3.130509268E-2,-7.549293351E-1,7.585637887E-1
9.981089167E-1,-5.731654571E-2,-1.584242782E-2,-9.376980937E-1,9.395817600E-1
1.008095917E0,-2.507655862E-2,-1.136225464E-2,-1.000566772E0,1.000945453E0
1.018083917E0,-1.688408188E-2,-4.794305703E-2,-8.918921757E-1,8.933393879E-1
1.028070917E0,-1.770353032E-2,-6.646771230E-2,-8.050733024E-1,8.080064319E-1
1.038058917E0,9.562737476E-3,-1.623857896E-2,-9.405427641E-1,9.407315390E-1
1.048046917E0,2.198773726E-2,3.762637591E-4,-9.781152177E-1,9.783623977E-1
1.058033917E0,-6.114081661E-3,-3.708932742E-2,-8.095663029E-1,8.104385226E-1
1.068021917E0,-2.262136987E-2,-4.317976441E-2,-7.616659123E-1,7.632242006E-1
1.078009917E0,-1.135957314E-2,-2.105847308E-3,-1.006557829E0,1.006624129E0
1.087996917E0,-7.868072768E-3,-1.712122073E-2,-1.003414366E0,1.003591267E0
1.097984917E0,-5.548060679E-2,-6.508070250E-2,-7.202033061E-1,7.252629852E-1
1.107971917E0,-4.108455629E-2,-7.402326053E-3,-8.002867717E-1,8.013748512E-1
1.117959917E0,-1.864238530E-3,2.905235235E-2,-1.050716586E0,1.051119812E0
1.127947917E0,-2.822240861E-2,-2.347558413E-2,-8.841136247E-1,8.848754199E-1
1.137934917E0,-2.357184391E-2,-4.001108516E-2,-6.763462651E-1,6.779386322E-1
1.147922917E0,-1.840615094E-2,-1.582722506E-4,-8.877073234E-1,8.878981380E-1
1.157909917E0,1.711639678E-2,-9.643801355E-3,-1.068382194E0,1.068562814E0
1.167897917E0,-3.509132698E-2,-4.442714910E-2,-7.929543632E-1,7.949728266E-1
1.177885917E0,-5.059326184E-2,-3.816969645E-2,-6.926629204E-1,6.955562703E-1
1.187872917E0,1.238353481E-3,1.745274415E-2,-1.021079974E0,1.021229868E0
1.197860917E0,1.038354951E-2,-3.253799409E-2,-9.908434367E-1,9.914319216E-1
1.207847917E0,-8.470233197E-3,-3.810903159E-2,-7.234993815E-1,7.245518603E-1
1.217835917E0,5.647837019E-3,-9.991614756E-3,-8.101691508E-1,8.102504449E-1
1.227823917E0,2.158850034E-2,2.877120178E-2,-1.091734219E0,1.092326623E0
1.237810917E0,-2.713850385E-3,-1.179987533E-2,-8.543290776E-1,8.544148728E-1
1.247798917E0,6.202217017E-3,-4.985394537E-2,-5.976129216E-1,5.997208412E-1
1.257787042E0,1.967700900E-2,-1.546482102E-2,-9.381553459E-1,9.384891041E-1
1.267774042E0,-2.104230873E-2,-6.493565957E-3,-1.100268815E0,1.100489169E0
1.277762042E0,-7.256072571E-2,-5.840902944E-2,-6.931149101E-1,6.993460891E-1
1.287749042E0,-2.632678698E-2,-4.540634758E-2,-6.941627312E-1,6.961441901E-1
1.297737042E0,4.566241452E-3,-1.994009488E-2,-1.109998582E0,1.110187061E0
1.307725042E0,-3.928816373E-2,-2.351929663E-2,-9.010331279E-1,9.021958849E-1
1.317712042E0,-2.564915864E-2,-3.245596405E-2,-5.612391472E-1,5.627616274E-1
1.327700042E0,-3.010162606E-2,-9.172070380E-3,-9.067218840E-1,9.072677718E-1
1.337687042E0,-6.121725982E-2,1.361463408E-2,-1.171223023E0,1.172900797E0
1.347675042E0,-9.570200899E-2,-3.893224189E-2,-7.905646062E-1,7.972872698E-1
1.357663042E0,-4.540901994E-2,-3.380346860E-2,-7.043444878E-1,7.066157450E-1
1.367650042E0,-1.671664137E-4,2.331837168E-2,-1.067340220E0,1.067594923E0
1.377638042E0,-3.053778267E-2,2.996328460E-2,-9.333688152E-1,9.343488105E-1
1.387626042E0,-5.258642234E-2,-1.123407956E-2,-6.583900505E-1,6.605823151E-1
1.397613042E0,-1.191324508E-3,-1.148306360E-3,-9.381594390E-1,9.381608981E-1
1.407601042E0,3.987777321E-2,7.851796495E-3,-1.100272908E0,1.101023324E0
1.417588042E0,-9.440617464E-3,-1.241786436E-2,-7.580844927E-1,7.582449648E-1
1.427576042E0,1.589547988E-2,-1.513102724E-2,-7.080890447E-1,7.084290434E-1
1.437564042E0,6.339600546E-2,-3.086494124E-2,-9.707933342E-1,9.733506028E-1
1.447551042E0,-2.192379248E-3,-6.221907059E-2,-7.934127849E-1,7.958516612E-1
1.457539042E0,-5.442640863E-2,-5.866445226E-3,-6.336955047E-1,6.360555336E-1
1.467526042E0,-4.041874115E-3,2.815784713E-2,-8.576298308E-1,8.581014671E-1
1.477514042E0,2.463151014E-3,-1.848895756E-2,-9.062786651E-1,9.064705883E-1
1.487502042E0,-4.810149830E-2,-5.133697285E-2,-7.127317339E-1,7.161953389E-1
1.497489042E0,-1.904360023E-2,-1.969788996E-2,-7.173720843E-1,7.178950988E-1
1.507477042E0,-3.457052051E-3,-7.252367812E-3,-8.616720110E-1,8.617094653E-1
1.517465042E0,-2.837957080E-2,6.055812787E-3,-1.054619603E0,1.055018758E0
1.527452042E0,-5.437997351E-2,-5.700742900E-3,-9.315743047E-1,9.331775636E-1
1.537440042E0,-2.736771014E-3,-3.227227697E-2,-8.294860125E-1,8.301180848E-1
1.547427042E0,2.787165790E-2,-2.895054913E-2,-9.959404546E-1,9.967508980E-1
1.557415042E0,-3.212689600E-2,-4.336596625E-2,-8.902602178E-1,8.918946125E-1
1.567403042E0,-4.090182167E-2,-4.768942491E-2,-6.149820757E-1,6.181829775E-1
1.577390042E0,1.609848790E-2,-2.076244637E-2,-8.332282305E-1,8.336423241E-1
1.587378042E0,1.019459537E-2,-6.404845880E-3,-9.374115801E-1,9.374888918E-1
1.597365042E0,-4.202455102E-2,-2.721177220E-2,-6.757556963E-1,6.776077807E-1
1.607353042E0,-2.120422635E-2,-3.057769448E-2,-5.995647222E-1,6.007182956E-1
1.617341042E0,4.421502308E-3,-1.224847783E-2,-7.297944939E-1,7.299106646E-1
1.627328042E0,-2.652321688E-2,-4.007380111E-3,-7.022517693E-1,7.027638918E-1
1.637316042E0,-5.802663067E-2,2.167444071E-3,-6.033081096E-1,6.060960838E-1
1.647304042E0,-2.071297573E-2,-2.016869588E-2,-6.794996685E-1,6.801144044E-1
1.657291042E0,-1.104711027E-2,-7.997561186E-3,-7.995506072E-1,7.996669139E-1
1.667279042E0,-3.901048495E-2,2.660007807E-2,-6.627351165E-1,6.644149432E-1
1.677266042E0,-1.989984045E-2,-7.873858314E-3,-5.557070965E-1,5.561190325E-1
1.687254042E0,-6.205512928E-3,-2.087995485E-2,-7.139274895E-1,7.142597155E-1
1.697242042E0,-3.501573345E-2,-3.022785055E-2,-7.694620049E-1,7.708512188E-1
1.707229042E0,-5.274436112E-2,-5.431314167E-2,-5.525618792E-1,5.577244080E-1
1.717217042E0,-8.699448619E-3,-4.703336732E-2,-5.750151873E-1,5.770011123E-1
1.727204042E0,2.710449407E-3,-7.647744657E-3,-6.098920745E-1,6.099460444E-1
1.737192042E0,-2.663390056E-2,-4.981338032E-2,-3.711373955E-1,3.754113795E-1
1.747180042E0,-9.342978098E-3,-7.124968403E-2,-3.790708977E-1,3.858219203E-1
1.757167042E0,2.539501489E-2,-5.078667677E-2,-4.697828472E-1,4.732019831E-1
1.767155042E0,7.386529434E-3,-5.169493209E-2,-3.850596160E-1,3.885843984E-1
1.777142042E0,-1.116419848E-2,-4.095643375E-2,-2.968935442E-1,2.999130630E-1
1.787130042E0,-3.330072454E-2,-2.958427995E-2,-1.630729973E-1,1.690472429E-1
1.797118042E0,-2.462741252E-2,-2.184341154E-2,-2.588743633E-1,2.609589624E-1
1.807105042E0,-1.108776669E-2,-5.934962716E-3,-3.757824236E-1,3.759928088E-1
1.817093042E0,-3.893433410E-2,4.101961108E-3,-1.695113665E-1,1.739735952E-1
1.827081042E0,-3.632176160E-3,2.208169014E-3,-2.034907061E-1,2.035350981E-1
1.837068042E0,-4.882057335E-3,-4.222715248E-3,-3.129125762E-1,3.129791465E-1
1.847056042E0,-4.939402989E-2,8.715019114E-3,-2.024423003E-1,2.085631960E-1
1.857043042E0,-3.232806306E-2,2.556647764E-2,-3.693446392E-1,3.716372034E-1
1.867031042E0,-9.270806098E-3,3.396906586E-2,-3.832651055E-1,3.848791841E-1
1.877019042E0,-1.748840303E-2,-7.850154249E-3,-3.034804326E-1,3.040852547E-1
1.887006042E0,-2.777978352E-2,-3.474530201E-2,-2.855166167E-1,2.889614002E-1
1.896994042E0,-6.344153609E-3,-2.211067497E-2,-2.187548625E-1,2.199609514E-1
1.906982042E0,2.404604168E-2,2.411604153E-2,-4.197862297E-1,4.211653764E-1
1.916969042E0,3.311128389E-2,-4.652853333E-3,-3.823646343E-1,3.838238134E-1
1.926957042E0,-5.861765170E-3,-4.186367037E-2,-9.795606494E-2,1.066879461E-1
1.936944042E0,2.743577081E-2,-4.918108160E-2,-1.711532646E-1,1.801802994E-1
1.946932042E0,1.587388629E-2,-1.492585849E-2,-2.735403496E-1,2.744067863E-1
1.956920042E0,-2.025696828E-2,-1.126866949E-2,-1.888159490E-1,1.902335151E-1
1.966907042E0,-3.347769875E-2,-3.511086491E-2,-1.368739629E-1,1.452171163E-1
1.976895042E0,-1.850151080E-2,4.540876870E-3,-1.844749761E-1,1.854560386E-1
1.986883042E0,-2.126236047E-2,1.774869778E-3,-2.100711626E-1,2.111519157E-1
1.996870042E0,-5.797536246E-2,-1.755636550E-2,-2.236092210E-2,6.457073222E-2
2.006858042E0,-4.563757299E-2,-1.091803299E-2,-7.744637132E-2,9.055347560E-2
2.016845042E0,-1.927909684E-2,8.917456116E-3,-3.085663408E-1,3.092966073E-1
2.026833042E0,-4.616183069E-2,-3.544373365E-2,-1.867191374E-1,1.955791634E-1
2.036821042E0,-4.934992909E-2,-2.212708601E-2,-1.313325566E-1,1.420326155E-1
2.046808042E0,-5.154718026E-3,-2.466261687E-2,-1.448039567E-1,1.469795961E-1
2.056796042E0,-3.794591711E-4,-3.825206910E-2,-1.271395183E-1,1.327698079E-1
2.066783042E0,-3.902158552E-2,-7.169234566E-2,-2.999153852E-2,8.695958226E-2
2.076771042E0,-2.023546606E-2,-6.553913791E-2,-4.690577924E-2,8.309635859E-2
2.086759042E0,2.542410707E-2,-2.513207748E-2,-1.567773002E-1,1.608015187E-1
2.096746042E0,-8.143992824E-3,-3.321447583E-2,-2.624932051E-2,4.311093656E-2
2.106734042E0,-1.995858898E-2,-4.863911780E-2,1.394566780E-1,1.490378278E-1
2.116722042E0,1.196528530E-2,-2.175021012E-2,-3.059029341E-2,3.939550410E-2
2.126709042E0,-1.236586068E-2,-1.150545432E-2,-5.768453658E-2,6.010653666E-2
2.136697042E0,-2.606156550E-2,-4.722042340E-2,3.377527177E-2,6.363758768E-2
2.146684042E0,-3.309827840E-2,-8.183249112E-3,2.913375199E-2,4.484681822E-2
2.156672042E0,-3.093013541E-2,1.215404986E-2,-1.667099655E-2,3.717951493E-2
2.166660042E0,-2.998414043E-2,-1.365759970E-2,-8.418119431E-2,9.039940366E-2
2.176647042E0,-8.127186648E-2,1.037441780E-2,-9.187729955E-3,8.244488588E-2
2.186635042E0,-3.548194383E-2,3.023998809E-2,-5.619057298E-2,7.301236682E-2
2.196623042E0,3.628764675E-2,7.649656422E-3,-1.686073869E-1,1.726376595E-1
2.206610042E0,-4.528461129E-2,-6.784426107E-3,3.946051955E-2,6.044714270E-2
2.216598042E0,-2.970941265E-2,1.704844345E-2,4.979021072E-2,6.043478889E-2
2.226585042E0,1.046948988E-2,1.391618139E-2,-1.653130656E-1,1.662277955E-1
2.236573042E0,-3.142868363E-2,-1.254402717E-2,-8.627683640E-2,9.267581816E-2
2.246561042E0,-4.588760541E-2,-3.846794556E-2,-5.893993378E-3,6.016805069E-2
2.256548708E0,-5.957527030E-3,-2.706739851E-2,-3.777652144E-2,4.685298030E-2
2.266536708E0,3.755959660E-2,-3.229542829E-3,-7.564718306E-2,8.452011328E-2
2.276524708E0,1.657515246E-2,-2.021639637E-2,1.144586617E-1,1.174062332E-1
2.286511708E0,-1.368789102E-2,-3.383888308E-2,1.084716976E-1,1.144488425E-1
2.296499708E0,1.132020494E-2,-2.072043321E-2,-1.003428984E-1,1.030833675E-1
2.306486708E0,-1.892342624E-2,-5.415426185E-3,-2.699484050E-2,3.340874609E-2
2.316474708E0,-2.568417798E-2,-9.088318152E-3,1.376639217E-1,1.403339940E-1
2.326462708E0,-5.536867830E-3,-3.411249852E-2,1.641722739E-2,3.826022498E-2
2.336449708E0,-2.953319219E-2,-1.907139278E-2,1.986123741E-2,4.037816507E-2
2.346437708E0,-3.425134476E-2,-2.025930717E-2,1.183575851E-1,1.248683791E-1
2.356425708E0,-4.275405513E-2,-3.995661926E-2,9.366011560E-2,1.104384802E-1
2.366412708E0,-1.188131151E-2,-1.491617404E-2,-5.976965368E-2,6.273810096E-2
2.376400708E0,5.137571523E-3,-3.362564929E-2,1.537583828E-2,3.732955041E-2
2.386387708E0,-3.868224601E-2,-6.755999959E-2,2.942470944E-1,3.043715201E-1
2.396375708E0,-1.950013530E-2,-5.034514803E-2,8.692821622E-2,1.023298782E-1
2.406363708E0,2.900592180E-2,-5.105992447E-2,-2.997867465E-2,6.593315039E-2
2.416350708E0,-2.239861151E-2,-7.903613789E-2,8.722759366E-2,1.198209580E-1
2.426338708E0,-6.612175356E-2,-7.230155701E-2,1.417142880E-1,1.722862179E-1
2.436325708E0,-2.685518113E-2,-3.471644280E-2,9.186852872E-2,1.018148257E-1
2.446313708E0,1.584724263E-2,1.553935018E-2,4.351965666E-2,4.885250269E-2
2.456301708E0,-2.341605445E-2,-2.509451369E-3,1.117777133E-1,1.142316337E-1
2.466288708E0,-2.791159941E-2,-7.292626805E-3,-1.986299157E-3,2.891686656E-2
2.476276708E0,-2.476395414E-2,1.490500951E-2,-1.091640079E-1,1.129256098E-1
2.486264708E0,-3.903119688E-2,-3.798835510E-3,4.591350675E-2,6.038141753E-2
2.496251708E0,-4.690196942E-2,-2.524506807E-2,7.689848721E-2,9.354402991E-2
2.506239708E0,-5.976574335E-2,2.721354921E-2,-7.683182895E-2,1.010725051E-1
2.516226708E0,-5.369410882E-2,3.389888100E-2,-1.817636222E-1,1.925362454E-1
2.526214708E0,-4.179071722E-2,-2.270517235E-3,-5.377918124E-2,6.814557674E-2
2.536202708E0,-1.497227990E-2,2.465841190E-2,5.863763273E-2,6.534966270E-2
2.546189708E0,3.797626096E-2,4.380083464E-2,-5.946676791E-2,8.304821489E-2
2.556177708E0,3.060366891E-2,-1.861473209E-2,1.087582111E-4,3.582044988E-2
2.566165708E0,-3.406086258E-2,-2.333771775E-2,3.408751309E-2,5.354203935E-2
2.576152708E0,1.030804049E-2,3.836006443E-2,-1.049738932E-1,1.122375538E-1
2.586140708E0,1.393320227E-2,7.485121256E-4,-7.653186679E-2,7.779345107E-2
2.596127708E0,-1.765918056E-2,-4.911991424E-2,4.576381803E-2,6.941858306E-2
2.606115708E0,-2.040934078E-2,-4.020947479E-2,1.544378293E-1,1.608862522E-1
2.616103708E0,3.188772204E-3,-2.018580356E-2,2.944774747E-2,3.584417337E-2
2.626090708E0,2.082902697E-2,5.813724354E-3,-1.775717533E-1,1.788836921E-1
2.636078708E0,-1.537968465E-3,-1.908383638E-2,9.875362515E-2,1.005924283E-1
2.646066708E0,-4.014482651E-2,-3.207729060E-2,1.156684506E-1,1.265691516E-1
2.656053708E0,-8.656779933E-4,-2.211185812E-2,-4.285190463E-2,4.822830495E-2
2.666041708E0,-3.266137262E-2,-1.521862584E-2,4.726070523E-2,5.943017830E-2
2.676029708E0,-3.338062126E-2,-1.970634558E-2,1.236013681E-1,1.295372692E-1
2.686016708E0,-2.866906965E-2,-4.896023501E-2,1.754164696E-3,5.676352051E-2
2.696004708E0,-3.993791730E-2,-2.572397787E-2,-7.982677281E-2,9.289280883E-2
2.705991708E0,-7.412780235E-2,-3.529597496E-2,7.764634609E-2,1.130030619E-1
2.715979708E0,-6.132976390E-2,-1.892400411E-2,1.176120651E-1,1.339852817E-1
2.725967708E0,-3.177083254E-2,3.176732878E-3,-1.102147526E-1,1.147465429E-1
2.735954708E0,-1.827338488E-2,-2.789768714E-2,-3.986105382E-2,5.197211902E-2
2.745942708E0,-3.318495652E-2,-6.089714304E-2,6.477136195E-2,9.489485075E-2
2.755929708E0,-3.684682329E-2,-3.391845775E-2,4.306708217E-2,6.605243167E-2
2.765917708E0,-5.262219999E-4,-9.956538314E-3,-7.398949742E-2,7.465825670E-2
2.775905708E0,-8.458004293E-3,-3.897453371E-2,-3.432257116E-2,5.261740211E-2
2.785892708E0,-6.892516456E-2,-5.827350651E-2,6.132852137E-2,1.091222590E-1
2.795880708E0,-1.423957581E-2,-2.969894020E-2,-1.290749466E-1,1.332108645E-1
2.805868708E0,4.561168078E-2,2.121633420E-2,-6.126595616E-2,7.927216186E-2
2.815855708E0,-2.471529663E-2,-1.758298860E-3,9.994879603E-2,1.029742654E-1
2.825843708E0,-5.641695159E-3,-1.587918533E-2,-2.788654089E-2,3.258276253E-2
2.835831708E0,5.630542052E-3,6.963577028E-3,-1.341661173E-1,1.344646476E-1
2.845818708E0,-1.215565785E-2,7.081377867E-3,-1.042289579E-1,1.051740538E-1
2.855806708E0,-9.294003099E-3,-2.842564732E-2,-1.172191322E-2,3.212163085E-2
2.865793708E0,7.642150973E-4,8.799938501E-3,-2.143004537E-3,9.089301997E-3
2.875781708E0,9.405097913E-3,2.697337026E-2,-1.759316093E-1,1.782356578E-1
2.885769708E0,-2.076980792E-2,-2.445262417E-2,2.330407798E-2,3.965344626E-2
2.895756708E0,-4.978603545E-2,-1.523230056E-2,3.078734457E-2,6.048580736E-2
2.905744708E0,1.579314447E-2,3.427171180E-2,-2.349107194E-1,2.379222977E-1
2.915732708E0,2.205716838E-2,-5.712731977E-3,-2.355083048E-2,3.276882055E-2
2.925719708E0,-3.377902678E-2,-4.090840892E-2,1.191025203E-1,1.303837832E-1
2.935707708E0,-3.209371305E-2,3.241391206E-2,-5.423701823E-2,7.086834455E-2
2.945694708E0,1.055199957E-2,2.675683598E-2,-8.716853678E-2,9.179121293E-2
2.955682708E0,-2.881694254E-2,-5.955407871E-2,-3.342853189E-3,6.624408756E-2
2.965670708E0,-5.551973289E-2,-6.889213236E-2,4.785068929E-2,1.005895378E-1
